Symbol|Issue_Name|Primary_Listing_Mkt
ERMG|ERecord Management Inc (NV) Common Stock|U
ERNXY|Euronext NV American Depositary Receipts - Unsponsored (Netherlands)|U
EROS|EROS INTERNATIONAL PLC|NYSE
EROTF|Barclays Bk PLC iPath EUR/USD Exchange Rate ETN due 05/14/2037 (United Kingdom)|U
EROX|Human Pheromone Sciences Inc. Common Stock|U
ERPLF|EUROPLASMA Ordinary Shares  (France)|U
ERPNF|European Metals Hldgs Ltd Chess Depositary Interests 1: 1:1 Depositary Shares|U
ERPRF|EUROPEAN RELIANCE GENERAL INSURANCE Ordinary Shares|U
ERPSY|Europris ASA American Depositary Receipts - Unsponsored (Norway)|U
ERRAF|Emera Inc Cum Pfd 5 Yr Rate Reset Series C (Canada)|U
ERRCF|Westkam Gold Corp. Ordinary Shares (Canada)|U
ERRFY|Eurofins Scientific SE American Depositary Receipts - Unsponsored (Luxembourg)|U
ERRPF|Ero Copper Corp Ordinary Shares (Canada)|U
ERRSF|Euro Resources SA Ordinary Shares (France)|U
ERSX|ERShares Non-US Small Cap ETF|ARCA
ERTWF|Eurotech SPA Amaro UD Ordinary Shares (Italy)|U
ERUC|ER Urgent Care Holdings, Inc. New Common Stock|U
ERUS|iShares MSCI Russia ETF|ARCA
ERVFF|Erin Ventures Inc Ordinary Shares|U
ERX|Direxion Daily Energy Bull 3x Shares|ARCA
ERY|Direxion Daily Energy Bear 3x Shares|ARCA
ERYP|Erytech Pharma S.A. American Depositary Shares|NASDAQ
ES|Eversource Energy|NYSE
ESALF|Eisai Co Ltd Ordinary Shares|U
ESALY|Eisai Co Ltd American Depositary Shares|U
ESBA|EMPIRE STATE REALTY OP, L.P.  SERIES ES|ARCA
ESBK|Elmira Savings Bank Elmira NY Common Stock|NASDAQ
ESBS|ES Bancshares, Inc. (MD) Common Stock|U
ESCA|Escalade, Incorporated Common Stock|NASDAQ
ESCC|Evans & Sutherland Computer Corporation Common Stock|U
ESCSQ|Escalera Resources Co. Series A Cumulative Preferred Stock|U
ESCU|Escue Energy, Inc. Common Stock|U
ESDF|East Side Financial Common Stock|U
ESE|ESCO Technologies, Inc.|NYSE
ESEA|Euroseas Ltd. Common Stock (Marshall Islands)|NASDAQ
ESEFF|Easyetf Epra Eurozone Fcp Units Distribution (Luxembourg)|U
ESES|Eco-Stim Energy Solutions  Common Stock|U
ESFOF|Espirito Santo Finl Group Sa Reg. Shares (Luxembourg)|U
ESFS|Eco-Safe Systems USA, Inc. Common Stock|U
ESG|FlexShares Trust FlexShares STOXX US ESG Impact Index Fund|BATS
ESGD|iShares Trust iShares ESG MSCI EAFE ETF|NASDAQ
ESGE|iShares, Inc. iShares ESG MSCI EM ETF|NASDAQ
ESGF|Invesco Global ESG Revenue ETF|ARCA
ESGFF|Ora Banda Mining Ltd Ordinary Shares|U
ESGG|FlexShares STOXX Global ESG Impact Index Fund|BATS
ESGI|enSurge, Inc. Common Stock|U
ESGL|Invesco ESG Revenue ETF|ARCA
ESGN|Columbia Sustainable International Equity Income ETF|ARCA
ESGR|Enstar Group Limited Ordinary Shares|NASDAQ
ESGRO|Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E|NASDAQ
ESGRP|Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares|NASDAQ
ESGS|Columbia Sustainable U.S. Equity Income ETF|ARCA
ESGU|iShares Trust iShares ESG MSCI USA ETF|NASDAQ
ESGV|Vanguard ESG U.S. Stock ETF|BATS
ESGW|Columbia Sustainable Global Equity Income ETF|ARCA
ESHDF|Esprit Holdings Ltd-Hkd Ordinary Shares|U
ESI|Element Solutions Inc.|NYSE
ESIGF|ESI Group SA Ordinary Shares (France)|U
ESINQ|ITT EDL SVCS INC Common Stock|U
ESIV|Essential Innovations Technology Corp.  Common Stock|U
ESKEF|Esker Sa Lyon Ordinary Shares (France)|U
ESKTF|Euskaltel, S.A. Ordinary Shares (Spain)|U
ESKYF|Eskay Mining Corporation Ordinary Shares 4 Month Hold (Canada)|U
ESLOF|Essilor Luxottica Ordinary Shares|U
ESLOY|EssilorLuxottica American Depositary Receipts - Unsponsored|U
ESLP|Euro Solar Parks Inc. Common Stock|U
ESLT|Elbit Systems Ltd. Ordinary Shares|NASDAQ
ESMC|ESCALON MED CORP Common Stock|U
ESML|iShares ESG MSCI USA Small-Cap ETF|BATS
ESNC|EnSync, Inc. Common Shares|U
ESNNF|Esun Holdings Ltd Ordinary Shs (Bermuda)|U
ESNR|Electronic Senor Technology, Inc. Common Stock|U
ESNT|Essent Group LTD|NYSE
ESOA|Energy Services of America Corporation|U
ESOCF|Enel-Societa Per Azioni Ordinary Shares|U
ESP|Espey Mfg. & Electronics Corp|AMEX
ESPGY|Esprit Holdings Ltd-Hkd Sponsored ADR (Bermuda)|U
ESPH|Ecosphere Technologies, Inc. Common Stock|U
ESPIQ|ESP Resources, Inc. Common Stock|U
ESPO|VanEck Vectors Video Gaming and eSports ETF|ARCA
ESPR|Esperion Therapeutics, Inc. Common Stock|NASDAQ
ESQ|Esquire Financial Holdings, Inc. Common Stock|NASDAQ
ESQF|Esecuresoft Co. Common Stock|U
ESRCF|Estore Corporation Tokyo Shs (Japan)|U
ESRG|Electron Solar Energy Common Stock|U
ESRT|EMPIRE STATE REALTY TRUST, INC.|NYSE
ESS|Essex Property Trust, Inc|NYSE
ESSA|ESSA Bancorp, Inc. Common Stock|NASDAQ
ESSE|Earth Search Sciences, Inc. Common Stock|U
ESSI|Eco Science Solutions, Inc Common Stock|U
ESSYY|Essity Aktiebolag Publ American Depositary Receipts - Sponsored (Sweden)|U
ESTA|Establishment Labs Holdings Inc. Common Shares|NASDAQ
ESTC|Elastic N.V.|NYSE
ESTE|Earthstone Energy Inc. Class A Common Stock|NYSE
ESTR|Estre Ambiental, Inc. Ordinary Shares|NASDAQ
ESTRW|Estre Ambiental, Inc. Warrants|NASDAQ
ESVFF|E S I Environmental Sensors Inc Common Shares|U
ESVIF|Ensign Energy Services Inc. Ordinary Shares (Canada)|U
ESWW|Environmental Solutions Worldwide, Inc. (NEW) Common Stock|U
ESXB|Community Bankers Trust Corporation Common Stock (VA)|NASDAQ
ESYJY|easyJet PLC Sponsored ADR (United Kingdom)|U
ESYL|Easylink Solutions Corp. Common Stock|U
ESYYF|Easy Software Ag Muelheim An Der Ruhr Ordinary Shares (Germany)|U
ET|Energy Transfer LP Common Units representing limited partner interests|NYSE
ETAH|Eternity Healthcare, Inc. Common stock|U
ETAR|Entertainment Arts, Inc. New Common Stock|U
ETB|Eaton Vance Tax-Managed Buy-Write Income Fund|NYSE
ETBI|Eastgate Biotech Corp. Common Stock|U
ETCC|Environmental Tectonics Corp. Common Stock|U
ETCG|Grayscale Ethereum Classic Trust (ETC) Common Stock|U
ETCIA|Electronic Tele-Communications  Inc. Class A Common Stock|U
ETCK|EnerTeck Corporation Common Stock|U
ETCMY|Eutelsat Communications SA Sponsored ADR (France)|U
ETEC|Emtec Inc Common Stock|U
ETEK|Eco-Tek Group, Inc. Common Stock|U
ETER|Enterra Corporation Common Stock|U
ETFBF|ETF Commodity Securities Ltd, St Helier Individual Commodity Securities 2006 - Without Fixed Maturity (Jersey)|U
ETFC|E*TRADE Financial Corporation Common Stock|NASDAQ
ETFDF|Etfs Commodity Securities Ltd St Helier Individual Commodity Security 2006 -Without Fixed Maturity on Cotton Commodity Index (Jersey)|U
ETFLF|Eastfield Res Ltd Ordinary Shares|U
ETFM|2050 Motors, Inc. Common Stock|U
ETG|Eaton Vance Tax-Advantaged Global Dividend Income Fund|NYSE
ETH|Ethan Allen Interiors Inc|NYSE
ETHE|GRAYSCALE ETHEREUM TR ETH Common units of fractional undivided beneficial interest Delaware|U
ETHO|ETF Managers Trust New Issue|ARCA
ETHOF|Ethos Gold Corp. Ordinary Shares (Canada)|U
ETI PR|Entergy Texas, Inc. 5.375% Series A Preferred Stock|NYSE
ETIC|E T I    Int'L  Inc Common Stock|U
ETII|EnviroTechnologies International, Inc. Common Stock|U
ETINY|Ei Group PLC American Depositary Receipts - Unsponsored|U
ETIVF|Electra Private Equity PLC Ordinary Shares|U
ETJ|Eaton Vance Risk - Managed Diversified Equity Income Fund|NYSE
ETKEF|XCD Energy Ltd Ordinary Shares|U
ETKKU|East Kans Agri-Energy LLC Unit Ltd Partnership Cl C|U
ETKNU|East Kans Agri-Energy LLC Unit Ltd Partnership Int Cl B|U
ETKR|Evolution Technology Resources, Inc. Common Stock|U
ETLHF|ETFS COMMODITY SECURITIES LTD, ST HELIER INDIVIDUAL COMMODITY SECURITES 2008 -WITHOUT FIXED (MATURITY ON LEVERAGED LEAN HOGS)  Exchange Traded Fund  Jersey (JE)|U
ETM|Entercom Communications|NYSE
ETMLF|ETF Metal Securities Ltd St Helier 0% Notes 2007- Without Fixed Maturity on Silver (Jersey)|U
ETMSF|ETF Metal Securities Ltd St Helier 0% Notes 2007 - Without fixed maturity on Palladium (Jersey)|U
ETN|Eaton Corporation, plc Ordinary Shares|NYSE
ETNB|89bio, Inc. Common Stock|NASDAQ
ETNI|Entest Group, Inc. Common Stock|U
ETNPF|European Cleantech I SE Warrant|U
ETO|Eaton Vance Tax-Advantaged Global Div Oppor. Fund|NYSE
ETOLF|Enterprise Group, Inc. Common Shares|U
ETON|Eton Pharmaceuticals, Inc. Common Stock|NASDAQ
ETP PRC|Energy Transfer Operating, L.P. 7.375% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetu|NYSE
ETP PRD|Energy Transfer Operating, L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetu|NYSE
ETP PRE|Energy Transfer Operating, L.P. Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Pref|NYSE
ETPHF|Agriminco Corp. Ordinary Shares (Canada)|U
ETR|Entergy Corporation|NYSE
ETRKF|Eltrak Sa Ordinary Shares (Greece)|U
ETRN|Equitrans Midstream Corporation Common Stock|NYSE
ETRXF|Etrion Corporation Ordinary Shares (Canada)|U
ETRZF|Electra Israel Ltd (Israel)|U
ETSCF|ETF Commodity Securities Ltd St Helier RegD Individual Commodity Security 2006 Without Fixed (Jersey)|U
ETSLF|ETF Metal Securities Ltd St Helier 0% Notes 2007-Without Fixed Maturity On Platinum (Jersey)|U
ETST|Earth Science Tech, Inc. Common Stock|U
ETSY|Etsy, Inc. Common Stock|NASDAQ
ETSYF|ETFS Commodity Securities Ltd, St Helier Individual Commodity Security 2006-Without Fixed Maturity (On Corn Commodity Index) (Jersey)|U
ETTX|Entasis Therapeutics Holdings Inc. Common Stock|NASDAQ
ETTYF|Essity Aktiebolag Ordinary Shares (Sweden)|U
ETV|Eaton Vance Tax-Managed Buy-Write Opportunities Fund|NYSE
ETW|Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund|NYSE
ETX|EATON VANCE MUNICIPAL INCOME 2028 TERM TRUST|NYSE
ETY|Eaton Vance Tax-Managed Diversified Equity Income Fund|NYSE
ETZCF|Eastern Zinc Corp.  Ordinary Shares  (Canada)|U
EUCMF|Eurocommercial Properties Nv Cert of Shs (Netherlands)|U
EUDG|WisdomTree Europe Quality Dividend Growth Fund|ARCA
EUDV|ProShares MSCI Europe Dividend Growers ETF|BATS
EUENF|Eurasia Energy Limited (Anguilla, British West Indies)|U
EUFL|Direxion Daily European Financials Bull 2X Shares|ARCA
EUFN|iShares MSCI Europe Financials ETF|NASDAQ
EUFX|ProShares Short Euro|ARCA
EUGFF|Dundee Energy Ltd. Ordinary Shares (Canada)|U
EUITF|European Investment Trust Plc, London Shs GBP (United Kingdom)|U
EUIVF|Eurocastle Investments Ltd Hertfordshire Ordinary Shares (United Kingdom)|U
EUM|ProShares Trust Short MSCI Emerging Markets|ARCA
EUMF|WisdomTree Europe Multifactor Fund|BATS
EUMV|iShares Edge MSCI Min Vol Europe ETF|ARCA
EUO|ProShares UltraShort Euro|ARCA
EUOT|Eurotech Ltd Common Stock|U
EURI|AgriEuro Corp. Common Stock|U
EURL|Direxion Daily FTSE Europe Bull 3x Shares|ARCA
EURN|EURONAV NV|NYSE
EURPF|Eurolife Brands Inc Common Shares|U
EURZ|Xtrackers Eurozone Equity ETF|BATS
EUSA|iShares MSCI USA Equal Weighted ETF|ARCA
EUSC|WisdomTree Europe Hedged SmallCap Equity Fund|ARCA
EUSHF|Eurocash SA SHS (Poland)|U
EUSHY|Eurocash SA Unsponsored ADR (Poland)|U
EUSP|Eurosite Power Inc. COMMON|U
EUTLF|Eutelsat Communications Ordinary Shares (France)|U
EUUNF|Azarga Metals Corporation Ordinary Shares|U
EUXTF|Euronext NV Ordinary Shares Euronext N.V. (Netherlands)|U
EUZOF|Eurazeo Paris Ordinary Shares (France)|U
EV|Eaton Vance Corp.|NYSE
EVA|Enviva Partners, LP|NYSE
EVAHF|EGF THERAMED HEALTH CORP Ordinary Shares|U
EVAI|Elva International, Inc. Common Stock|U
EVARF|LOMBARD MEDICAL ORD Common Shares|U
EVBC|Evolution Blockchain Group Inc. Common Stock|U
EVBG|Everbridge, Inc. Common Stock|NASDAQ
EVBN|Evans Bancorp Inc|AMEX
EVC|Entravision Communication|NYSE
EVCC|Environmental Control Corp. Common Stock|U
EVCI|EVCI Career Colleges Holding Corp. Common Stock|U
EVCNF|Even Construtora Incorporadora SA, Sao Paulo Ordinary Shares (Brazil)|U
EVER|EverQuote, Inc. Class A Common Stock|NASDAQ
EVF|Eaton Vance Senior Income Trust|NYSE
EVFM|Evofem Biosciences, Inc. Common Stock|NASDAQ
EVG|Eaton Vance Short Duration Diversified Income Fund|NYSE
EVGBC|Eaton Vance NextShares Trust Eaton Vance Global Income Builder NextShares|NASDAQ
EVGEF|Evergreen Gaming Corp Common Shares (Canada)|U
EVGGF|Evolution Gaming Group AB Ordinary Shares   (Sweden)|U
EVGI|Evergreen International Corp. Common Stock|U
EVGN|Evogene Ltd Ordinary Shares|NASDAQ
EVGRF|Evergrande Health Industries Group Ltd Ordinary Shares After Shares Subdivision (Hong Kong)|U
EVGUF|EVERGOLD CORP COM (Canada)|U
EVH|Evolent Health, Inc Class A Common Stock|NYSE
EVI|EVI Industries, Inc.|AMEX
EVIO|EVIO, Inc. Common Stock|U
EVIPF|Envipco Holding NV Shares -B-|U
EVIX|VelocityShares 1x Long VSTOXX Futures ETN|BATS
EVK|Ever-Glory International Group, Inc. Common Stock|NASDAQ
EVKIF|Evonik Industries AG Shs (Germany Federal Republic)|U
EVKIY|EVONIK INDS AG  American Depositary Receipts - Unsponsored (Germany)|U
EVLI|Everlert Inc Common Stock|U
EVLLF|Enviroleach Tech Inc Ordinary Shares (Canada)|U
EVLMC|Eaton Vance NextShares Trust II Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShares|NASDAQ
EVLO|Evelo Biosciences, Inc. Common Stock|NASDAQ
EVM|Eaton Vance California Municipal Bond Fund|AMEX
EVMNY|Evolution Mng Ltd American Depositary Receipts - Unsponsored (Australia)|U
EVN|Eaton Vance Municipal Income Trust|NYSE
EVNNF|Eviana Health Corp Ordinary Shares (Canada)|U
EVNVY|EVN AG Sponsored ADR (Austria)|U
EVOA|EVO Transportation & Energy Services, Inc. Common Stock|U
EVOGF|EVOLVING GOLD CORP Common Shares|U
EVOK|Evoke Pharma, Inc. Common Stock|NASDAQ
EVOL|Evolving Systems, Inc. Common Stock|NASDAQ
EVOMY|Enviromission Ltd Sponsored American Depositary Receipt (Australia)|U
EVOP|EVO Payments, Inc. Class A Common Stock|NASDAQ
EVOTF|Evotec SE Ordinary Shares|U
EVR|Evercore Inc.|NYSE
EVRC|Evercel, Inc. Common Stock|U
EVRG|Evergy, Inc.|NYSE
EVRI|Everi Holdings Inc|NYSE
EVRM|Evermedia Group, Inc. (The) Common Stock|U
EVRN|Everock Inc Common Stock New|U
EVRRF|Everton Resources Inc|U
EVRX|Environmental Rx Corp Common Stock|U
EVRZF|EVRAZ PLC Ordinary Shares (United Kingdom)|U
EVSBY|EVS Boradcast Equipment S A ADR (Belgium)|U
EVSI|Envision Solar International, Inc. Common Stock|NASDAQ
EVSIW|Envision Solar International, Inc. Warrant|NASDAQ
EVSO|Evolution Solar Corp Common Stock|U
EVSP|Environmental Service Professionals, Inc. Common Stock|U
EVSTC|Eaton Vance NextShares Trust Eaton Vance Stock NextShares|NASDAQ
EVSV|Enviro-Serv, Inc. Common Stock|U
EVT|Eaton Vance Tax-Advantaged Dividend Income Fund|NYSE
EVTC|EVERTEC, INC.|NYSE
EVTCY|Evotec SE American Depositary Receipts - Sponsored|U
EVTI|Eventure Interactive, Inc. Common Stock|U
EVTN|Enviro Technologies, Inc. Common Stock|U
EVTNF|Eviation Aircraft Ltd. Ordinary Shares|U
EVTP|EV Transportation, Inc. Common Stock|U
EVTZF|Evertz Technologies Ltd Common Shares (Canada)|U
EVUS|EV Charging USA, Inc. Common Stock|U
EVV|Eaton Vance Limited Duration Income Fund|AMEX
EVVLF|Evolve Marijuana Fd Unit|U
EVVRF|EVR Holdings Ordinary Shares|U
EVVTY|Evolution Gaming Group AB ADR Unsponsored (Sweden)|U
EVVVY|Enav S P A American Depositary Receipts - Unsponsored|U
EVX|VanEck Vectors Environmental Services ETF|ARCA
EVXXF|European Electric Metals Inc Common Shares|U
EVY|Eaton Vance New York Municipal Income Trust|AMEX
EVYAF|EVRY AS (Norway)|U
EW|Edwards Lifesciences Corp|NYSE
EWA|iShares MSCI Australia ETF|ARCA
EWBC|East West Bancorp, Inc. Common Stock|NASDAQ
EWC|iShares MSCI Canada ETF|ARCA
EWCLF|Energy World Corporation Ltd Ordinary Shares|U
EWCO|Invesco Exchange-Traded Fund Trust Invesco S&P 500 Equal Weight Communication Services ETF|ARCA
EWD|iShares MSCI Sweden ETF|ARCA
EWEM|Invesco MSCI Emerging Markets Equal Country Weight ETF|ARCA
EWG|iShares MSCI Germany ETF|ARCA
EWGS|iShares MSCI Germany Small-Cap ETF|BATS
EWH|iShares MSCI Hong Kong ETF|ARCA
EWI|iShares MSCI Italy ETF|ARCA
EWJ|iShares MSCI Japan ETF|ARCA
EWJE|iShares Trust iShares MSCI Japan Equal Weighted ETF|NASDAQ
EWJV|iShares Trust iShares MSCI Japan Value ETF|NASDAQ
EWK|iShares MSCI Belgium ETF|ARCA
EWKS|Earthworks Entertainment, Inc. Common Stock New|U
EWL|iShares MSCI Switzerland ETF|ARCA
EWLL|eWellness Healthcare Corp Common Stock|U
EWLU|Merion, Inc. Common Stock|U
EWM|iShares MSCI Malaysia ETF|ARCA
EWMC|Invesco S&P MidCap 400 Equal Weight ETF|ARCA
EWN|iShares MSCI Netherlands ETF|ARCA
EWO|iShares MSCI Austria ETF|ARCA
EWOOF|Eastwood Bio-Med CDA Inc|U
EWP|iShares MSCI Spain ETF|ARCA
EWPI|Emerging World Pharma, Inc.  Common Stock|U
EWPMF|East West Pete Corp. Ordinary Shares (Canada)|U
EWQ|iShares MSCI France ETF|ARCA
EWRC|eWorld Companies Inc . Common Stock|U
EWRE|Invesco S&P 500 Equal Weight Real Estate ETF|ARCA
EWS|iShares MSCI Singapore ETF|ARCA
EWSC|Invesco S&P SmallCap 600 Equal Weight ETF|ARCA
EWST|E-Waste Corporation Common Stock|U
EWT|iShares MSCI Taiwan ETF|ARCA
EWU|iShares MSCI United Kingdom ETF|ARCA
EWUS|iShares MSCI United Kingdom Small-Cap ETF|BATS
EWV|ProShares Trust UltraShort MSCI Japan|ARCA
EWW|iShares MSCI Mexico ETF|ARCA
EWX|SPDR S&P Emerging Markets Small Cap ETF|ARCA
EWY|iShares MSCI South Korea ETF|ARCA
EWZ|iShares MSCI Brazil ETF|ARCA
EWZS|iShares MSCI Brazil Small-Cap ETF|NASDAQ
EXAS|Exact Sciences Corporation Common Stock|NASDAQ
EXBX|Exobox Technologies Corp. Common Stock|U
EXC|Exelon Corporation Common Stock|NASDAQ
EXCC|Excel Corp Common Stock|U
EXCE|EXCO RES INC Com Par $|U
EXCH|Exchange Bancshares Inc Ga Common Stock|U
EXCOF|Exco Technologies Ltd Ordinary Shares|U
EXD|Eaton Vance TaxManaged Buy-Write Strategy Fund|NYSE
EXDI|Exactus, Inc. Common Stock|U
EXDW|Exceed World, Inc. Common Stock|U
EXEL|Exelixis, Inc. Common Stock|NASDAQ
EXEO|Exeo Entmt Inc Common Stock|U
EXER|Exact Energy Resources Inc Common Stock|U
EXETF|Extendicare, Inc. Common Shares (Canada)|U
EXEXF|Excel Co Ltd Tokyo Ordinary Shares (Japan)|U
EXFO|EXFO Inc|NASDAQ
EXG|Eaton Vance Tax-Managed Global Diversified Equity Income Fund|NYSE
EXGYF|Exall Energy Corp Common (Canada)|U
EXHI|Exlites Holdings International Inc Common Stock|U
EXI|iShares Global Industrials ETF|ARCA
EXIV|VelocityShares 1x Daily Inverse VSTOXX Futures ETN|BATS
EXK|Endeavour Silver Corp.|NYSE
EXLA|Helmer Directional Drilling Corp. Common Stock|U
EXLLF|Excellon Resources Inc. New Ordinary Shares|U
EXLS|ExlService Holdings, Inc. Common Stock|NASDAQ
EXMGF|Excelsior Mining Corp Ordinary Shares (Canada)|U
EXMT|Anything Technologies Media Inc. Common Stock|U
EXMXF|Dropsuite Ltd. Ordinary Shares|U
EXNN|Exent Corporation Common Stock|U
EXNT|EnXnet, Inc. Common Stock|U
EXNZF|Exalenz Bioscience Ltd Ordinary Shares (Israel)|U
EXOPF|Exopharm Ltd  Ordinary Shares (Australia)|U
EXOXF|Exo U Inc Common Shares (Canada)|U
EXP|Eagle Materials, Inc.|NYSE
EXPC|Experience Investment Corp. Class A Common Stock|NASDAQ
EXPCU|Experience Investment Corp. Unit|NASDAQ
EXPCW|Experience Investment Corp. Warrants|NASDAQ
EXPD|Expeditors International of Washington, Inc. Common Stock|NASDAQ
EXPE|Expedia Group, Inc. Common Stock|NASDAQ
EXPFF|Experion Hldgs Ltd Ordinary Shares|U
EXPGF|Experian Plc Ordinary Shares (United Kingdom)|U
EXPGY|Experian Plc Sponsored ADR (UK)|U
EXPH|Expo Holding, Inc. Common Stock|U
EXPI|eXp World Holdings, Inc. Common Stock|NASDAQ
EXPL|Endurance Exploration Group, Inc. (NV) Common Stock|U
EXPO|Exponent, Inc. Common Stock|NASDAQ
EXPR|Express, Inc.|NYSE
EXPXF|Explorex Resources Inc. Com No Par (Canada)|U
EXPZF|Exploration Knick Inc Common Shares (Canada)|U
EXR|Extra Space Storage, Inc.|NYSE
EXRG|Ecologix Resource Group, Inc. Common Stock|U
EXROF|Exro Technologies Inc Ordinary Shares (Canada)|U
EXRTF|Exactearth Ltd Ordinary Shares (Canada)|U
EXSFF|Explor Resources Inc Ordinary Shares (Canada)|U
EXSO|Cons Eco-Systems Inc Common Stock|U
EXSPF|EXPERT SYSTEM S P A AZIONI ORDINARIE SENZA VALORE (NOMINALE - ORDINARY SHARES) (Italy)|U
EXSR|Exchange Bank (Santa Rosa, CA) Common Stock|U
EXT|WisdomTree U.S. Total Market Fund|ARCA
EXTDF|European Exchange Traded Fund Company Ordinary shares (United Kingdom)|U
EXTN|Exterran Corporation|NYSE
EXTR|Extreme Networks, Inc. Common Stock|NASDAQ
EXXAF|Exxaro Resources Limited Ordinary Shares (South Africa)|U
EXXAY|Exxaro Resources Limited Sponsored ADR (South Africa)|U
EXXBF|Exeblock Technology Corp Ordinary Shares (Canada)|U
EXXRF|Exor NV  Ordinary Shares|U
EYCCF|Eyecarrot Innovations Corp Ordinary Shares|U
EYE|National Vision Holdings, Inc. Common Stock|NASDAQ
EYEG|Eyegate Pharmaceuticals, Inc. Common Stock|NASDAQ
EYEGW|Eyegate Pharmaceuticals, Inc. Warrants|NASDAQ
EYEN|Eyenovia, Inc. Common Stock|NASDAQ
EYES|Second Sight Medical Products, Inc. Common Stock|NASDAQ
EYESW|Second Sight Medical Products, Inc. Warrants|NASDAQ
EYGPF|Electricity Generating Public Co Ltd Ordinary Shares|U
EYGY|Enterprise Energy, Inc. Common Stock|U
EYLD|Cambria Emerging Shareholder Yield ETF|BATS
EYPT|EyePoint Pharmaceuticals, Inc. Common Stock|NASDAQ
EYTH|Eco Energy Tech Asia Ltd Common Stock|U
EYUBY|Electricity Generating Public Co Ltd Unsponsored ADR (Thailand)|U
EYUUF|Electricity Generating Public Co Ltd Unit Non-Voting Depository Receipt (Thailand)|U
EZA|iShares MSCI South Africa ETF|ARCA
EZCL|Ezy Cloud Holding Inc. Common Stock|U
EZEN|Ezenia! Incorporated Common Stock|U
EZIDF|Ezion Holdings Limited Ordinary Shares (Singapore)|U
EZJ|ProShares Ultra MSCI Japan|ARCA
EZM|WisdomTree U.S. MidCap Fund|ARCA
EZPW|EZCORP, Inc. Class A Non Voting Common Stock|NASDAQ
EZT|Entergy Texas, Inc. First Mortgage Bonds, 5.625% Series due June 1, 2064|NYSE
EZTCF|Ez Tec Empreendimentos Participacoes SA Ordinary Shares (Brazil)|U
EZTD|EZTD, Inc Common Stock|U
EZU|iShare MSCI Eurozone ETF of ISHARES INC.|BATS
F|Ford Motor Company|NYSE
F PRB|Ford Motor Company 6.20% Notes due June 1, 2059|NYSE
FAAR|First Trust Exchange-Traded Fund VII First Trust Alternative Absolute Return Strategy ETF|NASDAQ
FAB|First Trust Multi Cap Value AlphaDEX Fund|NASDAQ
FABK|First Advantage Bancorp Common Stock|U
FABP|Farmers Bancorp (The) (IN) Common Stock|U
FABU|FAB Universal Corp. Common Stock|U
FACCF|First Asset Cambridge Core CDN Equity ETF Unit (Canada)|U
FACO|First Acceptance Corp. Common Stock|U
FACYF|Fancl Corp Yokohama Ordinary Shares (Japan)|U
FAD|First Trust Multi Cap Growth AlphaDEX Fund|NASDAQ
FADCF|First Asset Cdn Divid Opportunity Fd Units (Canada)|U
FAF|First American Financial Corporation|NYSE
FAFL|First Americano Financial Corporation (Elizabeth, NJ) Common Stock|U
FAGI|Full Alliance Group, Inc. Common Stock|U
FAHE|Fahey Bkg Co Marion Ohio Common Stock|U
FAITF|Faith Inc Kyoto Ordinary Shares (Japan)|U
FAKC|FaceKey Corp. Common Stock|U
FALC|FALCONSTOR SOFTWARE INC Common Stock|U
FALN|iShares Trust iShares Fallen Angels USD Bond ETF|NASDAQ
FAM|First Trust/Aberdeen Global Opportunity Income Fund|NYSE
FAMDF|Futura Medical PLC Ordinary Shares (United Kingdom)|U
FAME|Flamemaster Corporation (The) Common Stock|U
FAMI|Farmmi, Inc. Ordinary Shares|NASDAQ
FAN|First Trust Global Wind Energy ETF|ARCA
FANDF|Firstrand Ltd Ordinary Shares (South Africa)|U
FANDY|Firstrand Ltd Unsponsored ADR (South Africa)|U
FANG|Diamondback Energy, Inc. Commmon Stock|NASDAQ
FANH|Fanhua Inc. American Depositary Shares|NASDAQ
FANUF|Fanuc Limited Ordinary Shares|U
FANUY|Fanuc Corporation Unsponsored ADR (Japan)|U
FAPPF|CI First Asset Active Util & Infrastructure ETF Common Shares|U
FARE|World Moto, Inc. Common Stock|U
FARM|Farmer Brothers Company Common Stock|NASDAQ
FARO|FARO Technologies, Inc. Common Stock|NASDAQ
FARYF|Far LTD Ordinary Shares (Australia)|U
FAS|Direxion Daily Financial Bull 3x Shares|ARCA
FASDF|FANTASY ACES DAILY FANTASY SPORTS CORP Ordinary Shares|U
FAST|Fastenal Company Common Stock|NASDAQ
FAT|FAT Brands Inc. Common Stock|NASDAQ
FATE|Fate Therapeutics, Inc. Common Stock|NASDAQ
FATLF|FATTAL HLDGS 1998 LTD Common Shares Israel(IL )|U
FAUG|FT Cboe Vest U.S. Equity Buffer ETF - August|BATS
FAUS|First Trust Australia AlphaDEX Fund|ARCA
FAVO|Favo Realty, Inc. Common Stock|U
FAX|Aberdeen Asia-Pacific Income Fund, Inc.|AMEX
